program,mode,source_path,ir_path,ir_instruction_count,basic_block_count,avg_bb_size,cfg_edge_count,avg_bb_out_degree,loop_count,max_loop_depth,branch_instr_count,branch_density,compute_instr_count,compute_density,load_count,store_count,memory_instr_count,memory_access_density,compute_to_memory_ratio,load_store_ratio,call_instr_count,call_to_bb_ratio,hostcall_count,hostcall_density,alloc_call_count,function_count,opt_loop_ok,opt_loop_note,native_perf_L1_icache_load_misses_median,native_perf_all_loads_retired_median,native_perf_all_stores_retired_median,native_perf_branch_misses_median,native_perf_branches_retired_median,native_perf_conditional_branches_median,native_perf_cpu_cycles_median,native_perf_instructions_retired_median,perf_L1_icache_load_misses_median,perf_all_loads_retired_median,perf_all_stores_retired_median,perf_branch_misses_median,perf_branches_retired_median,perf_conditional_branches_median,perf_cpu_cycles_median,perf_instructions_retired_median,ratio_L1_icache_load_misses_over_native,ratio_all_loads_retired_over_native,ratio_all_stores_retired_over_native,ratio_branch_misses_over_native,ratio_branches_retired_over_native,ratio_conditional_branches_over_native,ratio_cpu_cycles_over_native,ratio_instructions_retired_over_native,y_time_internal_ratio
llvmss_misc_mandel-2,wasm-jit,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/mandel-2.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_mandel-2.ll,107,21,5.095238095238095,29,1.380952380952381,4,3,18,0.1682242990654205,51,0.4766355140186916,4,0,4,0.0373831775700934,12.75,4.0,4,0.1904761904761904,2,0.0186915887850467,0,4,1,,162646.0,1812023.0,1204943.0,15097.0,471801653.0,157070486.0,2123201024.0,3457728148.0,1682181.0,640955650.0,322379081.0,190802.0,951083190.0,2346544.0,2160817218.0,4288934243.0,10.3425906570097,353.7237937929044,267.54716281185085,12.638404981122076,2.0158538740855154,0.0149394329880662,1.0177167369339024,1.2403908171557043,1.010197
llvmss_misc_matmul_f64_4x4,wasm-aot,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/matmul_f64_4x4.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_matmul_f64_4x4.ll,187,4,46.75,3,0.75,1,1,2,0.0106951871657754,54,0.2887700534759358,40,8,48,0.2566844919786096,1.1249999999999998,5.0,47,11.75,20,0.106951871657754,0,2,1,,114800.0,1651016429.0,750635548.0,10579.0,150720373.0,50137570.0,1456153836.0,6804117563.0,1067165.0,4160811839.0,1906752677.0,135241.0,158206057.0,51874444.0,3195212707.0,13293945132.0,9.295862369337978,2.5201516871156464,2.5401843572161864,12.783911522828245,1.0496660395074793,1.0346421655457174,2.1942823814392645,1.953808853081982,2.170499
llvmss_misc_matmul_f64_4x4,wasm-jit,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/matmul_f64_4x4.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_matmul_f64_4x4.ll,187,4,46.75,3,0.75,1,1,2,0.0106951871657754,54,0.2887700534759358,40,8,48,0.2566844919786096,1.1249999999999998,5.0,47,11.75,20,0.106951871657754,0,2,1,,114800.0,1651016429.0,750635548.0,10579.0,150720373.0,50137570.0,1456153836.0,6804117563.0,1112686.0,4162005000.0,1907559623.0,151823.0,158951882.0,52016693.0,3195576033.0,13298033886.0,9.69238675958188,2.520874369809193,2.541259374249619,14.351356460913127,1.0546144415393663,1.0374793393457242,2.194531892164723,1.954409776561352,2.171207
llvmss_misc_richards_benchmark,wasm-aot,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/richards_benchmark.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_richards_benchmark.ll,737,98,7.520408163265306,127,1.2959183673469388,8,1,98,0.1329715061058344,276,0.3744911804613297,133,158,291,0.3948439620081411,0.9484536082474228,0.8417721518987342,45,0.4591836734693877,22,0.0298507462686567,16,15,1,,136225.0,1346862162.0,885152933.0,7381808.0,961986314.0,237630346.0,1625242163.0,3944891315.0,1054043.0,2699795559.0,1190940989.0,7757994.0,1230738831.0,382828708.0,3014830755.0,7633109019.0,7.737515140392732,2.004507688441544,1.3454635290690495,1.0509612279268168,1.279372495313899,1.6110261776078043,1.855004025637009,1.9349351881954195,1.903721
llvmss_misc_richards_benchmark,wasm-jit,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/richards_benchmark.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_richards_benchmark.ll,737,98,7.520408163265306,127,1.2959183673469388,8,1,98,0.1329715061058344,276,0.3744911804613297,133,158,291,0.3948439620081411,0.9484536082474228,0.8417721518987342,45,0.4591836734693877,22,0.0298507462686567,16,15,1,,136225.0,1346862162.0,885152933.0,7381808.0,961986314.0,237630346.0,1625242163.0,3944891315.0,1155891.0,2701417647.0,1192040321.0,7780624.0,1231741778.0,383020091.0,3008884399.0,7638650532.0,8.48516057992292,2.0057120343989587,1.346705497500735,1.0540268725493809,1.2804150745953335,1.6118315587521803,1.8513452748764307,1.9363399196715256,1.845339
llvmss_misc_salsa20,wasm-aot,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/salsa20.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_salsa20.ll,265,13,20.384615384615383,15,1.1538461538461535,2,1,10,0.0377358490566037,132,0.4981132075471698,37,25,62,0.2339622641509434,2.129032258064516,1.48,37,2.8461538461538463,2,0.0075471698113207,0,3,1,,653561.0,4882046446.0,4341509865.0,35546.0,1517812493.0,807753678.0,13358794551.0,44104415282.0,1748073.0,11381484835.0,8718846285.0,33760446.0,2837151530.0,69978277.0,17158045616.0,63177152436.0,2.67468989122668,2.3312938459086507,2.0082520957256884,949.7677938445958,1.869237170654913,0.0866331889360954,1.2844007406877591,1.4324450745361998,1.282342
llvmss_misc_salsa20,wasm-jit,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/salsa20.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_salsa20.ll,265,13,20.384615384615383,15,1.1538461538461535,2,1,10,0.0377358490566037,132,0.4981132075471698,37,25,62,0.2339622641509434,2.129032258064516,1.48,37,2.8461538461538463,2,0.0075471698113207,0,3,1,,653561.0,4882046446.0,4341509865.0,35546.0,1517812493.0,807753678.0,13358794551.0,44104415282.0,1821185.0,11382697583.0,8719663774.0,33768753.0,2837930547.0,70119004.0,17170002631.0,63181369276.0,2.7865570314018124,2.331542255671527,2.008440391739154,950.0014910257132,1.869750420482275,0.0868074091270185,1.2852958076007468,1.4325406849183586,1.282655
llvmss_shootout_hello,wasm-aot,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Shootout/hello.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_shootout_hello.ll,2,1,2.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,1,1.0,1,0.5,0,1,1,,44081.0,200986.0,120500.0,5310.0,158734.0,37096.0,1018928.0,828884.0,861912.0,9133509.0,5682796.0,123037.0,7051216.0,1666725.0,38194503.0,37159767.0,19.552913953857672,45.44350850307982,47.16013278008299,23.17080979284369,44.4215857976237,44.93004636618503,37.48498716297913,44.83108251576819,8.460645
llvmss_shootout_hello,wasm-jit,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Shootout/hello.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_shootout_hello.ll,2,1,2.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,1,1.0,1,0.5,0,1,1,,44081.0,200986.0,120500.0,5310.0,158734.0,37096.0,1018928.0,828884.0,941222.0,10212343.0,6426764.0,140978.0,7732488.0,1795682.0,37884038.0,40926831.0,21.35210181257231,50.81121570656663,53.33414107883817,26.54952919020716,48.71349553340809,48.406351089066206,37.180289480709135,49.37582460271884,5.164987
llvmss_stanford_bubblesort,wasm-aot,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Stanford/Bubblesort.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_stanford_bubblesort.ll,113,26,4.346153846153846,33,1.2692307692307692,5,2,21,0.1858407079646017,38,0.336283185840708,8,15,23,0.2035398230088495,1.6521739130434785,0.5333333333333333,3,0.1153846153846153,2,0.0176991150442477,0,5,1,,53673.0,12773315.0,13046413.0,639744.0,31497785.0,6517095.0,41557768.0,101984574.0,1372757.0,23393648.0,19724437.0,954287.0,39671095.0,20887445.0,102223005.0,163967803.0,25.576304659698543,1.8314468875151049,1.5118666717050886,1.4916701055422168,1.2594884052958009,3.205023864160335,2.459780924711837,1.6077706320565697,1.642681
llvmss_stanford_bubblesort,wasm-jit,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Stanford/Bubblesort.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_stanford_bubblesort.ll,113,26,4.346153846153846,33,1.2692307692307692,5,2,21,0.1858407079646017,38,0.336283185840708,8,15,23,0.2035398230088495,1.6521739130434785,0.5333333333333333,3,0.1153846153846153,2,0.0176991150442477,0,5,1,,53673.0,12773315.0,13046413.0,639744.0,31497785.0,6517095.0,41557768.0,101984574.0,1485050.0,24641365.0,20575803.0,977317.0,40469100.0,21041640.0,106536413.0,168362327.0,27.668473906806028,1.92912842124382,1.5771233824960162,1.5276688800520208,1.2848236788713874,3.228683945837831,2.563573986937893,1.650860717425755,1.640992
llvmss_stanford_floatmm,wasm-aot,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Stanford/FloatMM.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_stanford_floatmm.ll,151,29,5.206896551724138,35,1.206896551724138,11,3,23,0.152317880794702,74,0.4900662251655629,11,11,22,0.1456953642384106,3.363636363636364,1.0,6,0.2068965517241379,1,0.0066225165562913,0,6,1,,83158.0,640614110.0,24391058.0,656404.0,185052504.0,176082974.0,675840870.0,1958745389.0,1119382.0,698402654.0,38530796.0,1067322.0,688540765.0,10456919.0,1012296786.0,4285651474.0,13.46090574568893,1.090208041156009,1.579709908442676,1.6260138573195777,3.720785993795577,0.0593863152265931,1.4978330416744403,2.1879574027678794,1.445177
llvmss_stanford_floatmm,wasm-jit,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Stanford/FloatMM.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_stanford_floatmm.ll,151,29,5.206896551724138,35,1.206896551724138,11,3,23,0.152317880794702,74,0.4900662251655629,11,11,22,0.1456953642384106,3.363636363636364,1.0,6,0.2068965517241379,1,0.0066225165562913,0,6,1,,83158.0,640614110.0,24391058.0,656404.0,185052504.0,176082974.0,675840870.0,1958745389.0,1210052.0,699487766.0,39271056.0,1077605.0,689221928.0,10585739.0,1014982477.0,4289401625.0,14.551239808557204,1.0919019033158668,1.6100595554321588,1.641679514445372,3.724466911293456,0.0601179021431112,1.5018068927971169,2.189871970644369,1.443502
