program,mode,y_wasmtime,y_wasmer
llvmss_benchmarkgame_puzzle,wasm-aot,5.172443,5.543074
llvmss_benchmarkgame_puzzle,wasm-jit,5.166068,5.538461
llvmss_misc_evalloop,wasm-aot,1.155248,1.280142
llvmss_misc_evalloop,wasm-jit,1.157905,1.280831
llvmss_misc_flops-1,wasm-aot,1.24383,1.190099
llvmss_misc_flops-1,wasm-jit,1.153603,1.176027
llvmss_misc_flops-2,wasm-aot,0.974684,1.001529
llvmss_misc_flops-2,wasm-jit,0.97355,0.976092
llvmss_misc_flops-3,wasm-aot,0.902943,1.007025
llvmss_misc_flops-3,wasm-jit,0.902894,0.970371
llvmss_misc_flops-4,wasm-aot,0.957435,1.023393
llvmss_misc_flops-4,wasm-jit,0.957543,0.995445
llvmss_misc_flops-5,wasm-aot,0.943767,1.05633
llvmss_misc_flops-5,wasm-jit,0.943433,0.995369
llvmss_misc_flops-6,wasm-aot,0.937544,1.046469
llvmss_misc_flops-6,wasm-jit,0.937747,1.027745
llvmss_misc_flops-7,wasm-aot,0.978384,0.974102
llvmss_misc_flops-7,wasm-jit,0.981727,0.974181
llvmss_misc_flops-8,wasm-aot,0.960607,0.983008
llvmss_misc_flops-8,wasm-jit,0.960091,1.023394
llvmss_misc_mandel-2,wasm-aot,1.027169,1.009767
llvmss_misc_mandel-2,wasm-jit,1.027952,1.010197
llvmss_misc_matmul_f64_4x4,wasm-aot,2.200763,2.170499
llvmss_misc_matmul_f64_4x4,wasm-jit,2.19959,2.171207
llvmss_misc_richards_benchmark,wasm-aot,1.81906,1.903721
llvmss_misc_richards_benchmark,wasm-jit,1.817244,1.845339
llvmss_misc_salsa20,wasm-aot,1.221025,1.282342
llvmss_misc_salsa20,wasm-jit,1.221004,1.282655
llvmss_shootout_hello,wasm-aot,4.232016,8.460645
llvmss_shootout_hello,wasm-jit,4.151459,5.164987
llvmss_stanford_bubblesort,wasm-aot,1.4373,1.642681
llvmss_stanford_bubblesort,wasm-jit,1.429582,1.640992
llvmss_stanford_floatmm,wasm-aot,1.766199,1.445177
llvmss_stanford_floatmm,wasm-jit,1.765147,1.443502
llvmss_stanford_intmm,wasm-aot,2.295645,3.067016
llvmss_stanford_intmm,wasm-jit,2.246439,2.928381
llvmss_stanford_oscar,wasm-aot,2.172715,5.737452
llvmss_stanford_oscar,wasm-jit,2.061033,5.487531
llvmss_stanford_perm,wasm-aot,2.338723,2.900319
llvmss_stanford_perm,wasm-jit,2.332291,2.888021
llvmss_stanford_puzzle,wasm-aot,1.497232,1.47619
llvmss_stanford_puzzle,wasm-jit,1.498217,1.479205
llvmss_stanford_queens,wasm-aot,2.858043,3.188724
llvmss_stanford_queens,wasm-jit,2.855309,3.170823
llvmss_stanford_quicksort,wasm-aot,1.074389,1.23231
llvmss_stanford_quicksort,wasm-jit,1.071911,1.232291
llvmss_stanford_realmm,wasm-aot,1.328446,2.131422
llvmss_stanford_realmm,wasm-jit,1.777107,2.008868
llvmss_stanford_towers,wasm-aot,1.613475,2.01338
llvmss_stanford_towers,wasm-jit,1.618133,1.951759
llvmss_stanford_treesort,wasm-aot,0.837893,1.019378
llvmss_stanford_treesort,wasm-jit,0.839079,0.999582
